ann1,ann2,alpha,kappa,AvgObs
46,62,0.274020163,0.26739378,0.54505277
57,51,0.121310826,0.005278993,0.35974934
3,30,0.25934671,0.245442456,0.676974494
54,6,0.201514978,0.194942312,0.557612137
57,50,0.130783327,0.096138512,0.561134565
56,23,0.2206182,0.208235143,0.598689534
26,30,0.121937418,0.074889987,0.411328056
44,30,0.21828892,0.197555497,0.502519789
46,31,0.337326126,0.331009183,0.625949868
3,62,0.237690498,0.203039773,0.602502199
57,21,0.096966485,0.083004794,0.621833773
57,56,0.188233001,0.183866738,0.682506596
62,58,0.231184375,0.204550274,0.588126649
50,58,0.241772351,0.220935462,0.613324538
44,23,0.148999658,0.133098931,0.445923483
21,34,0.177859479,0.135729057,0.459837291
51,23,0.191975479,0.150052687,0.401090589
33,16,0.347475155,0.342989391,0.688399296
39,34,0.200504966,0.156837384,0.491146438
62,56,0.24512975,0.223702627,0.575527704
3,34,0.157254681,0.093862686,0.488718118
51,58,0.16359587,0.067474758,0.39489226
3,54,0.207313295,0.195967253,0.666394019
3,39,0.324514187,0.319593107,0.741451187
26,62,0.099139074,0.064797992,0.360351803
26,50,0.084380332,0.042836358,0.357387863
44,34,0.175133397,0.148937491,0.386275726
57,23,0.103376553,0.076494028,0.570804749
50,16,0.168433545,0.153388991,0.534762533
33,62,0.293455557,0.280834725,0.603390501
33,46,0.36464568,0.35739615,0.655263852
3,6,0.25170806,0.231801947,0.63649956
51,16,0.127595332,0.05232464,0.346029024
33,23,0.232964015,0.228088357,0.604234828
26,21,0.219759764,0.176343955,0.494313984
33,44,0.223368111,0.200218562,0.526860158
33,50,0.298303661,0.290007226,0.622994723
56,50,0.20963839,0.191610897,0.574630607
21,16,0.378089608,0.373695328,0.698095866
46,6,0.216970556,0.210885249,0.522150396
62,21,0.17010811,0.148933737,0.519828496
3,58,0.297301941,0.294478176,0.752897977
33,26,0.166744404,0.116900359,0.462343887
62,50,0.397604522,0.395197587,0.629762533
33,21,0.347164804,0.343147694,0.693364116
56,21,0.201147126,0.195587604,0.632387863
31,21,0.284533442,0.280487007,0.64737467
21,58,0.138179002,0.12806993,0.627110818
33,56,0.249284852,0.245659322,0.662295515
3,21,0.160017844,0.144898308,0.652612137
57,62,0.143176696,0.103399488,0.54530343
30,51,0.22521948,0.175226997,0.431831574
50,23,0.321365637,0.319926235,0.605989446
54,58,0.240782084,0.234613959,0.666108179
46,30,0.22240565,0.215655423,0.55676781
3,44,0.206949909,0.158634113,0.545048373
31,44,0.281674197,0.26603185,0.551754617
39,44,0.213130763,0.1840887,0.525087951
30,16,0.263426443,0.254131838,0.621552331
6,21,0.14160214,0.130100717,0.528601583
21,23,0.204034962,0.193263091,0.576978892
31,56,0.264344394,0.259537462,0.650263852
21,50,0.153269009,0.136476762,0.530646438
54,50,0.200517366,0.189341446,0.553218997
39,50,0.246756698,0.231951619,0.600145119
62,23,0.303352412,0.299756001,0.581398417
3,51,0.140825287,0.026727884,0.38175022
3,23,0.151650607,0.127357297,0.601596306
6,16,0.191923417,0.181013114,0.550312225
44,21,0.271539396,0.25199905,0.553245383
54,30,0.186910111,0.182760166,0.585765172
58,34,0.192951327,0.140897301,0.500727792
30,50,0.287714579,0.283984237,0.601015831
57,16,0.125072382,0.106980619,0.623212401
3,31,0.242147085,0.227619387,0.673720317
30,34,0.24024235,0.211098576,0.499120932
57,30,0.159950598,0.143680546,0.627097625
39,58,0.357529655,0.355108005,0.740580475
31,39,0.318160692,0.313935146,0.678122252
26,51,0.041695975,-0.008106705,0.223007916
56,58,0.257325039,0.254180426,0.697467018
31,23,0.250868257,0.244445584,0.593680739
