ann1,ann2,alpha,kappa,AvgObs,type,time,correct,maxconf,total
3,23,0.151651,0.127357,0.601596,symmetric,0.809,9.968454,1,99
31,34,0.171494,0.134502,0.450234,symmetric,28.05,9.967213,1,99
33,34,0.201118,0.161589,0.486275,symmetric,33.492,9.966805,1,99
46,56,0.243193,0.228754,0.591077,symmetric,50.253,9.96648,1,99
33,57,0.210887,0.201624,0.678984,symmetric,35.042,9.966197,1,99
31,50,0.249227,0.239837,0.577863,symmetric,28.978,9.966154,1,99
26,56,0.132994,0.07667,0.445932,symmetric,23.681,9.965217,1,99
39,56,0.30152,0.299486,0.696234,symmetric,45.775,9.963889,1,99
46,58,0.235627,0.215391,0.606003,symmetric,50.64,9.963788,1,99
31,39,0.318161,0.313935,0.678122,symmetric,28.335,9.962857,1,99
3,62,0.23769,0.20304,0.602502,symmetric,4.791,9.962319,1,99
3,57,0.173093,0.170475,0.723865,symmetric,4.452,9.961538,1,99
26,62,0.099139,0.064798,0.360352,symmetric,24.216,9.960714,1,99
26,50,0.08438,0.042836,0.357388,symmetric,22.941,9.959119,1,99
6,23,0.252736,0.249267,0.562902,symmetric,5.479,9.957929,1,99
30,34,0.240242,0.211099,0.499121,symmetric,25.25,9.957746,1,99
30,51,0.225219,0.175227,0.431832,symmetric,26.449,9.954248,1,99
26,44,0.249662,0.24112,0.470191,symmetric,22.383,9.951613,1,99
54,62,0.24239,0.228377,0.559393,symmetric,54.089,9.948387,1,99
46,62,0.27402,0.267394,0.545053,symmetric,50.893,9.948097,1,99
39,62,0.247377,0.227627,0.581706,symmetric,46.243,9.948052,1,99
54,58,0.240782,0.234614,0.666108,symmetric,53.934,9.947674,1,99
44,62,0.215852,0.202027,0.46471,symmetric,47.962,9.947368,1,99
51,58,0.163596,0.067475,0.394892,symmetric,53.259,9.947214,1,99
21,50,0.153269,0.136477,0.530646,symmetric,16.445,9.94704,1,99
39,50,0.246757,0.231952,0.600145,symmetric,45.14,9.943218,1,99
3,44,0.20695,0.158634,0.545048,symmetric,3.092,9.936639,1,99
57,58,0.15297,0.149894,0.696583,symmetric,54.8,9.936599,1,99
26,34,0.09621,0.054622,0.311214,symmetric,21.865,9.929368,1,99
39,44,0.213131,0.184089,0.525088,symmetric,44.571,9.928571,1,99
30,50,0.287715,0.283984,0.601016,symmetric,26.171,9.898361,1,99
46,51,0.230336,0.192132,0.414853,symmetric,49.86,9.75945,1,99
3,26,0.117465,0.030278,0.455325,symmetric,1.086,9.730978,1,99
